,Combiner Box Schedule,Parallel Source Circuit Detail,# of PV Modules Per PV Source Circuit,# Of PV Source Circuits Per Parallel Source Circuit,1500 VDC Fuse Rating Per PV Source Circuit (A),# Of Parallel Source Circuits Per Combiner Box,1500 VDC Fuse Rating Per Parallel Source Circuit Harness (A),# Of PV Source Circuits Per Combiner Box,Average PV Module Power (W),# Of PV Modules Per Combiner Box,Combiner Box Power (kW),DC/AC Ratio (Based on 3600kW Nominal),1500 VDC Fuse Rating Per PV Combiner Output (A),DC Combiner Box Rating (A),PV Combiner Output Conductor Size and Type,Maximum Voltage (V),Operating Voltage (V),Max. Short Circuit Current (A),Operating Current (A),CB Length (ft),Power Loss From Combiner To Inverter,Power Loss Percentage From Combiner To Inverter,Power Loss Percentage From Average Harness To Combiner,Total
0,1.01,A,6,14,5,6,55,84,475,504,239.4,1.11,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,280,208,425.00,828.46,0.35%,1.63%,1.98%
1,1.02,A,6,14,5,8,55,112,475,672,319.2,1.11,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,374,278,362.00,1254.49,0.39%,1.63%,2.02%
2,1.03,A,6,14,5,8,55,112,475,672,319.2,1.11,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,374,278,298.00,1032.70,0.32%,1.63%,1.95%
3,1.04,A,6,14,5,8,55,112,475,672,319.2,1.11,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,374,278,234.00,810.91,0.25%,1.63%,1.88%
4,1.05,A,6,14,5,8,55,112,475,672,319.2,1.11,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,374,278,170.00,589.13,0.18%,1.63%,1.81%
5,1.06,A,6,14,5,8,55,112,475,672,319.2,1.11,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,374,278,106.00,367.34,0.12%,1.63%,1.74%
6,1.07,A,6,14,5,8,55,112,475,672,319.2,1.11,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,374,278,74.00,256.44,0.08%,1.63%,1.71%
7,1.08,A,6,14,5,8,55,112,475,672,319.2,1.11,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,374,278,104.00,360.41,0.11%,1.63%,1.74%
8,1.09,A,6,14,5,8,55,112,475,672,319.2,1.11,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,374,278,168.00,582.19,0.18%,1.63%,1.81%
9,1.1,A,6,14,5,8,55,112,475,672,319.2,1.11,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,374,278,232.00,803.98,0.25%,1.63%,1.88%
10,1.11,A,6,14,5,8,55,112,475,672,319.2,1.11,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,374,278,296.00,1025.77,0.32%,1.63%,1.95%
11,1.12,A,6,14,5,8,55,112,475,672,319.2,1.11,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,374,278,360.00,1247.56,0.39%,1.63%,2.02%
12,1.13,A,6,14,5,6,55,84,475,504,239.4,1.11,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,280,208,424.00,826.51,0.35%,1.63%,1.97%
0,2.01,A,6,14,5,6,55,84,475,504,239.4,1.10,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,280,208,393.00,766.08,0.32%,1.63%,1.95%
1,2.02,A,6,14,5,8,55,112,475,672,319.2,1.10,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,374,278,330.00,1143.60,0.36%,1.63%,1.99%
2,2.03,A,6,14,5,8,55,112,475,672,319.2,1.10,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,374,278,266.00,921.81,0.29%,1.63%,1.92%
3,2.04,A,6,14,5,8,55,112,475,672,319.2,1.10,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,374,278,202.00,700.02,0.22%,1.63%,1.85%
4,2.05,A,6,14,5,8,55,112,475,672,319.2,1.10,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,374,278,138.00,478.23,0.15%,1.63%,1.78%
5,2.06,A,6,14,5,8,55,112,475,672,319.2,1.10,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,374,278,74.00,256.44,0.08%,1.63%,1.71%
6,2.07,A,6,14,5,8,55,112,475,672,319.2,1.10,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,374,278,72.00,249.51,0.08%,1.63%,1.71%
7,2.08,A,6,14,5,8,55,112,475,672,319.2,1.10,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,374,278,136.00,471.30,0.15%,1.63%,1.78%
8,2.09,A,6,14,5,8,55,112,475,672,319.2,1.10,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,374,278,200.00,693.09,0.22%,1.63%,1.85%
9,2.1,A,6,14,5,8,55,112,475,672,319.2,1.10,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,374,278,264.00,914.88,0.29%,1.63%,1.92%
10,2.11,A,6,14,5,8,55,112,475,672,319.2,1.10,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,374,278,328.00,1136.67,0.36%,1.63%,1.99%
11,2.12,A,6,14,5,6,55,84,475,504,239.4,1.10,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,280,208,392.00,764.13,0.32%,1.63%,1.95%
12,2.13,A,6,14,5,4,55,104,475,624,296.4,1.10,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,347,258,490.95,1466.99,0.49%,1.46%,1.96%
13,2.13,B,6,12,5,4,55,104,475,624,296.4,1.10,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,347,258,490.95,1466.99,0.49%,1.46%,1.96%
0,3.01,A,6,14,5,8,55,112,475,672,319.2,1.15,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,374,278,421.03,1459.06,0.46%,1.63%,2.09%
1,3.02,A,6,14,5,8,55,112,475,672,319.2,1.15,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,374,278,358.03,1240.73,0.39%,1.63%,2.02%
2,3.03,A,6,14,5,8,55,112,475,672,319.2,1.15,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,374,278,294.03,1018.94,0.32%,1.63%,1.95%
3,3.04,A,6,14,5,8,55,112,475,672,319.2,1.15,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,374,278,421.11,1459.33,0.46%,1.63%,2.09%
4,3.05,A,6,14,5,8,55,112,475,672,319.2,1.15,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,374,278,421.11,1459.33,0.46%,1.63%,2.09%
5,3.06,A,6,14,5,8,55,112,475,672,319.2,1.15,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,374,278,102.03,353.58,0.11%,1.63%,1.74%
6,3.07,A,6,14,5,8,55,112,475,672,319.2,1.15,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,374,278,51.97,180.10,0.06%,1.63%,1.69%
7,3.08,A,6,14,5,8,55,112,475,672,319.2,1.15,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,374,278,99.97,346.44,0.11%,1.63%,1.74%
8,3.09,A,6,14,5,8,55,112,475,672,319.2,1.15,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,374,278,421.06,1459.16,0.46%,1.63%,2.09%
9,3.1,A,6,14,5,8,55,112,475,672,319.2,1.15,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,374,278,421.06,1459.16,0.46%,1.63%,2.09%
10,3.11,A,6,14,5,8,55,112,475,672,319.2,1.15,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,374,278,291.97,1011.81,0.32%,1.63%,1.95%
11,3.12,A,6,14,5,8,55,112,475,672,319.2,1.15,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,374,278,355.97,1233.59,0.39%,1.63%,2.02%
12,3.13,A,6,14,5,8,55,112,475,672,319.2,1.15,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,374,278,419.97,1455.38,0.46%,1.63%,2.09%
0,4.01,A,6,14,5,6,55,84,475,504,239.4,1.16,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,280,208,213.03,415.26,0.17%,1.63%,1.80%
1,4.02,A,6,14,5,8,55,112,475,672,319.2,1.16,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,374,278,150.03,519.92,0.16%,1.63%,1.79%
2,4.03,A,6,14,5,8,55,112,475,672,319.2,1.16,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,374,278,86.03,298.13,0.09%,1.63%,1.72%
3,4.04,A,6,14,5,8,55,112,475,672,319.2,1.16,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,374,278,51.97,180.10,0.06%,1.63%,1.69%
4,4.05,A,6,14,5,8,55,112,475,672,319.2,1.16,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,374,278,115.97,401.89,0.13%,1.63%,1.75%
5,4.06,A,6,14,5,8,55,112,475,672,319.2,1.16,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,374,278,179.97,623.68,0.20%,1.63%,1.82%
6,4.07,A,6,14,5,8,55,112,475,672,319.2,1.16,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,374,278,373.06,1292.82,0.41%,1.63%,2.03%
7,4.08,A,6,14,5,8,55,112,475,672,319.2,1.16,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,374,278,307.97,1067.25,0.33%,1.63%,1.96%
8,4.09,A,6,14,5,8,55,112,475,672,319.2,1.16,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,374,278,371.97,1289.04,0.40%,1.63%,2.03%
9,4.1,C,6,10,5,9,55,90,475,540,256.5,1.16,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,300,223,319.00,713.84,0.28%,0.43%,0.71%
10,4.11,C,6,10,5,10,55,100,475,600,285,1.16,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,334,248,160.00,442.02,0.16%,0.43%,0.58%
11,4.12,C,6,10,5,10,55,100,475,600,285,1.16,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,334,248,46.00,127.08,0.04%,0.43%,0.47%
12,4.13,C,6,10,5,10,55,100,475,600,285,1.16,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,334,248,190.00,524.90,0.18%,0.43%,0.61%
13,4.14,B,6,12,5,3,55,96,475,576,273.6,1.16,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,320,238,318.00,809.64,0.30%,0.74%,1.03%
14,4.14,C,6,10,5,6,55,96,475,576,273.6,1.16,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,320,238,318.00,809.64,0.30%,0.74%,1.03%
0,5.01,A,6,14,5,6,55,84,475,504,239.4,1.16,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,280,208,317.03,617.99,0.26%,1.63%,1.89%
1,5.02,A,6,14,5,8,55,112,475,672,319.2,1.16,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,374,278,254.03,880.33,0.28%,1.63%,1.90%
2,5.03,A,6,14,5,8,55,112,475,672,319.2,1.16,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,374,278,190.03,658.54,0.21%,1.63%,1.84%
3,5.04,A,6,14,5,8,55,112,475,672,319.2,1.16,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,374,278,126.03,436.75,0.14%,1.32%,1.45%
4,5.05,A,6,14,5,8,55,112,475,672,319.2,1.16,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,374,278,59.97,207.82,0.07%,0.85%,0.91%
5,5.06,B,6,12,5,4,55,88,475,528,250.8,1.16,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,294,218,295.00,631.12,0.25%,1.05%,1.30%
6,5.06,C,6,10,5,4,55,88,475,528,250.8,1.16,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,294,218,295.00,631.12,0.25%,1.05%,1.30%
7,5.07,B,6,12,5,5,55,110,475,660,313.5,1.16,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,367,273,232.00,775.53,0.25%,1.05%,1.30%
8,5.07,C,6,10,5,5,55,110,475,660,313.5,1.16,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,367,273,232.00,775.53,0.25%,1.05%,1.30%
9,5.08,B,6,12,5,5,55,110,475,660,313.5,1.16,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,367,273,152.00,508.10,0.16%,1.05%,1.21%
10,5.08,C,6,10,5,5,55,110,475,660,313.5,1.16,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,367,273,152.00,508.10,0.16%,1.05%,1.21%
11,5.09,B,6,12,5,5,55,110,475,660,313.5,1.16,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,367,273,72.00,240.68,0.08%,1.05%,1.13%
12,5.09,C,6,10,5,5,55,110,475,660,313.5,1.16,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,367,273,72.00,240.68,0.08%,1.05%,1.13%
13,5.1,B,6,12,5,5,55,110,475,660,313.5,1.16,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,367,273,54.00,180.51,0.06%,1.05%,1.11%
14,5.1,C,6,10,5,5,55,110,475,660,313.5,1.16,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,367,273,54.00,180.51,0.06%,1.05%,1.11%
15,5.11,B,6,12,5,5,55,110,475,660,313.5,1.16,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,367,273,134.00,447.93,0.14%,1.05%,1.19%
16,5.11,C,6,10,5,5,55,110,475,660,313.5,1.16,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,367,273,134.00,447.93,0.14%,1.05%,1.19%
17,5.12,B,6,12,5,5,55,110,475,660,313.5,1.16,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,367,273,214.00,715.36,0.23%,1.05%,1.28%
18,5.12,C,6,10,5,5,55,110,475,660,313.5,1.16,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,367,273,214.00,715.36,0.23%,1.05%,1.28%
19,5.13,B,6,12,5,4,55,88,475,528,250.8,1.16,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,294,218,278.00,594.75,0.24%,1.05%,1.29%
20,5.13,C,6,10,5,4,55,88,475,528,250.8,1.16,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,294,218,278.00,594.75,0.24%,1.05%,1.29%
21,,B,6,12,5,7,55,94,475,564,250.8,1.16,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,294,218,278.00,1509.09,0.56%,0.68%,1.25%
22,5.14,B,6,12,5,7,55,94,475,564,250.8,1.16,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,294,218,278.00,1509.09,0.56%,0.68%,1.25%
23,,B,6,12,5,7,55,94,475,564,250.8,1.16,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,294,218,278.00,1509.09,0.56%,0.68%,1.25%
24,,C,6,10,5,1,55,94,475,564,250.8,1.16,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,294,218,278.00,1509.09,0.56%,0.68%,1.25%
0,6.01,A,6,14,5,6,55,84,475,504,239.4,1.17,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,280,208,247.00,481.48,0.20%,1.63%,1.83%
1,6.02,A,6,14,5,8,55,112,475,672,319.2,1.17,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,374,278,184.00,637.64,0.20%,1.63%,1.83%
2,6.03,A,6,14,5,8,55,112,475,672,319.2,1.17,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,374,278,120.00,415.85,0.13%,1.63%,1.76%
3,6.04,A,6,14,5,8,55,112,475,672,319.2,1.17,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,374,278,72.00,249.51,0.08%,1.63%,1.71%
4,6.05,A,6,14,5,8,55,112,475,672,319.2,1.17,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,374,278,102.00,353.48,0.11%,1.63%,1.74%
5,6.06,A,6,14,5,8,55,112,475,672,319.2,1.17,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,374,278,166.00,575.26,0.18%,1.63%,1.81%
6,6.07,A,6,14,5,8,55,112,475,672,319.2,1.17,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,374,278,230.00,797.05,0.25%,1.63%,1.88%
7,6.08,A,6,14,5,6,55,84,475,504,239.4,1.17,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,280,208,199.00,387.91,0.16%,1.63%,1.79%
8,6.09,A,6,14,5,8,55,112,475,672,319.2,1.17,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,374,278,136.00,471.30,0.15%,1.63%,1.78%
9,6.1,A,6,14,5,8,55,112,475,672,319.2,1.17,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,374,278,72.00,249.51,0.08%,1.63%,1.71%
10,6.11,A,6,14,5,8,55,112,475,672,319.2,1.17,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,374,278,38.00,131.69,0.04%,1.63%,1.67%
11,6.12,A,6,14,5,8,55,112,475,672,319.2,1.17,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,374,278,86.00,298.03,0.09%,1.63%,1.72%
12,6.13,A,6,14,5,8,55,112,475,672,319.2,1.17,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,374,278,150.00,519.82,0.16%,1.63%,1.79%
13,6.14,A,6,14,5,6,55,84,475,504,239.4,1.17,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,280,208,214.00,417.15,0.17%,1.63%,1.80%
0,7.01,A,6,14,5,5,55,106,475,636,302.1,1.17,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,354,263,263.00,816.38,0.27%,1.43%,1.70%
1,7.02,B,6,12,5,3,55,104,475,624,296.4,1.17,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,347,258,200.00,597.61,0.20%,1.36%,1.56%
2,7.02,A,6,14,5,4,55,104,475,624,296.4,1.17,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,347,258,200.00,597.61,0.20%,1.36%,1.56%
3,7.02,B,6,12,5,4,55,104,475,624,296.4,1.17,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,347,258,200.00,597.61,0.20%,1.36%,1.56%
4,7.03,A,6,14,5,4,55,98,475,588,279.3,1.17,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,327,243,136.00,360.84,0.13%,1.19%,1.32%
5,7.03,B,6,12,5,1,55,98,475,588,279.3,1.17,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,327,243,136.00,360.84,0.13%,1.19%,1.32%
6,7.03,C,6,10,5,3,55,98,475,588,279.3,1.17,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,327,243,136.00,360.84,0.13%,1.19%,1.32%
7,7.04,A,6,14,5,4,55,96,475,576,273.6,1.17,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,320,238,72.00,183.31,0.07%,1.14%,1.21%
8,7.04,C,6,10,5,4,55,96,475,576,273.6,1.17,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,320,238,72.00,183.31,0.07%,1.14%,1.21%
9,7.05,A,6,14,5,7,55,108,475,648,307.8,1.17,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,360,268,118.00,380.24,0.12%,0.89%,1.01%
10,7.05,C,6,10,5,1,55,108,475,648,307.8,1.17,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,360,268,118.00,380.24,0.12%,0.89%,1.01%
11,7.06,A,6,14,5,7,55,98,475,588,279.3,1.17,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,327,243,230.00,610.24,0.22%,0.85%,1.07%
12,7.07,A,6,14,5,8,55,112,475,672,319.2,1.17,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,374,278,231.00,800.52,0.25%,1.63%,1.88%
13,7.08,A,6,14,5,8,55,112,475,672,319.2,1.17,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,374,278,168.00,582.19,0.18%,1.63%,1.81%
14,7.09,A,6,14,5,8,55,112,475,672,319.2,1.17,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,374,278,104.00,360.41,0.11%,1.63%,1.74%
15,7.1,A,6,14,5,8,55,112,475,672,319.2,1.17,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,374,278,40.00,138.62,0.04%,1.63%,1.67%
16,7.11,A,6,14,5,8,55,112,475,672,319.2,1.17,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,374,278,54.00,187.13,0.06%,1.63%,1.69%
