,Combiner Box Schedule,Parallel Source Circuit Detail,# of PV Modules Per PV Source Circuit,# Of PV Source Circuits Per Parallel Source Circuit,1500 VDC Fuse Rating Per PV Source Circuit (A),# Of Parallel Source Circuits Per Combiner Box,1500 VDC Fuse Rating Per Parallel Source Circuit Harness (A),# Of PV Source Circuits Per Combiner Box,Average PV Module Power (W),# Of PV Modules Per Combiner Box,Combiner Box Power (kW),DC/AC Ratio (Based on 3600kW Nominal),1500 VDC Fuse Rating Per PV Combiner Output (A),DC Combiner Box Rating (A),PV Combiner Output Conductor Size and Type,Maximum Voltage (V),Operating Voltage (V),Max. Short Circuit Current (A),Operating Current (A),CB Length (ft),Power Loss From Combiner To Inverter,Power Loss Percentage From Combiner To Inverter,Power Loss Percentage From Average Harness To Combiner,Total
2,21.03,C,6,10,5,10,55,100,475,600,285,,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,334,248,408.00,1127.15,0.40%,0.82%,1.22%
3,21.04,C,6,10,5,10,55,100,475,600,285,,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,334,248,328.00,906.14,0.32%,0.82%,1.14%
4,21.05,C,6,10,5,10,55,100,475,600,285,,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,334,248,248.00,685.13,0.24%,0.82%,1.06%
5,21.06,C,6,10,5,10,55,100,475,600,285,,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,334,248,168.00,464.12,0.16%,0.82%,0.99%
6,21.07,C,6,10,5,10,55,100,475,600,285,,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,334,248,535.13,1478.37,0.52%,0.82%,1.34%
7,21.08,C,6,10,5,10,55,100,475,600,285,,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,334,248,38.00,104.98,0.04%,0.82%,0.86%
8,21.09,C,6,10,5,10,55,100,475,600,285,,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,334,248,118.00,325.99,0.11%,0.82%,0.94%
9,21.1,C,6,10,5,10,55,100,475,600,285,,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,334,248,198.00,547.00,0.19%,0.82%,1.01%
10,21.11,C,6,10,5,10,55,100,475,600,285,,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,334,248,278.00,768.01,0.27%,0.82%,1.09%
11,21.12,C,6,10,5,8,55,80,475,480,228,,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,267,198,342.00,604.68,0.27%,0.82%,1.09%
12,21.13,C,6,10,5,8,55,80,475,480,228,,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,267,198,503.04,889.42,0.39%,0.82%,1.21%
13,21.14,C,6,10,5,8,55,112 475,475,672,228,,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,267,198,503.04,889.42,0.39%,0.85%,1.39%
0,22.01,A,6,14,5,7,55,98,475,588,279.3,1.08,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,327,243,463.04,1228.55,0.44%,0.85%,1.29%
1,22.02,A,6,14,5,8,55,112,475,672,319.2,1.08,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,374,278,336.04,1164.53,0.36%,0.85%,1.21%
2,22.03,A,6,14,5,7,55,110,475,660,313.5,1.08,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,367,273,224.04,748.92,0.24%,0.92%,1.16%
3,22.03,B,6,12,5,1,55,110,475,660,313.5,1.08,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,367,273,224.04,748.92,0.24%,0.92%,1.16%
4,22.04,A,6,14,5,4,55,104,475,624,296.4,1.08,400,400,"750 KCMIL AL 2000V PV WIRE CONDUCTORS, #2 AWG CU GROUND, DIRECT BURIAL",1500,1149,347,258,128.04,382.59,0.13%,1.36%,1.49%
